Sr.No,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,Afghanistan,162.64217553111564,166.22483225383363,141.36532285285833,149.74406941655982,181.59877622737633,194.66903599438433,205.67409704517007,232.77869800221964,255.04562171164883,284.7555275710402,291.649800752758,311.8536176075365,340.87887388575007,341.6024150248755,328.0504560320634,316.00363058682547,317.80814703197547,279.72175582180046,256.5907694417144,313.14039109729123,338.6319857954687,310.8467281290362,288.1707911469428,190.26318586203016,136.81812139593055,197.10806662487542,182.640637209681,169.56104523453598,157.46170356695387,141.20405851282302,180.72315429683877,183.88912189049088,204.0542446681477,216.32868144076826,233.68336869727267,265.24637142780045,286.6371489672223,386.0255570170876,389.60415339152036,435.6935036532392,537.2382360218157,612.7732245395927,649.7109776084434,631.0604435031399,596.0488982191756,554.0040072260498,526.164709207767,534.0201329856229,513.9812557780551,512.9101245768577,512.7499301864844,378.08289188730805,344.64911193251413
2,Albania,974.5544994238043,975.2168203189206,976.5211663057278,978.6177712110127,981.2658741295527,984.9019664000374,989.7498775777946,994.9370661976831,1003.1630542184877,821.2185079994721,728.1071246336545,740.3699071687729,749.8489517669674,746.5838507928869,726.6715994858519,732.8549784198098,747.4247622349787,734.5376158260254,754.0256350835094,895.9242621482163,651.2012838244974,483.6766840882091,458.91422528425863,515.173586954418,571.0234948555704,728.5321867731285,978.0856855358988,683.7266036724661,790.4487960891512,1004.1798873045507,1096.0286880634446,1245.2031500759063,1394.5236971360546,1798.084592109427,2343.426764668322,2655.1437840817584,2962.014553585961,3587.7086198791026,4364.061409644946,4109.893152876139,4093.825900412989,4444.126504893627,4259.667181360756,4425.430821513908,4586.6061875913965,3950.390255039412,4117.006969707038,4521.752217313898,5268.116608390283,5359.239078357407,5288.989573038817,6281.046775394163,6655.258391148592
3,Algeria,373.6700797436083,380.12566593400027,496.99124832121794,624.1937950123319,875.0239480979855,989.2433557740882,1075.7259038212237,1225.0906923659268,1495.7348365442,1827.5701950298655,2254.727864554175,2287.4144238037434,2254.731315801194,2354.7983986072504,2469.3401350414933,2614.4876725096387,2749.815716289835,2727.6054792524037,2419.476782242954,2223.6067969230867,2419.907394140262,1781.7851254617826,1835.838093912394,1858.8258575450338,1515.2200327585354,1473.8203524065664,1615.900704455782,1630.764231051331,1606.6680497283085,1599.2519283952317,1776.3629601357227,1764.5831712461647,1796.6721606100234,2117.0482692997757,2624.7932822220464,3131.3282998788754,3500.1345275472027,3971.8036581465253,4946.56379325356,3898.4789230903652,4495.921455483428,5473.446128633174,5610.733340716971,5519.77757552373,5516.229431197753,4197.417286292595,3967.2005462671946,4134.936055170783,4171.7953921867875,4021.9836024106503,3354.1573025467633,3700.320561961342,4273.922183193569
4,Andorra,5008.901636928949,5305.716706568924,6285.3015256599365,7824.5313066836725,9078.009005102951,10076.49483404756,9817.312977281026,10384.50796055672,11964.939169461742,15252.250397430273,15860.623322771238,13307.107321137652,12323.290532937406,10260.110197631664,9901.370028476971,10014.894298160063,13373.137596790062,16237.923736507224,18383.98667484474,19492.103210993002,24305.217276603602,25265.665752121626,26727.54630337794,21541.304501229737,21094.16855807552,23701.627069630562,24144.350366981325,23096.08681789917,23525.232129726795,23894.616282231782,21620.416387961235,22809.10154814765,24785.006079380186,31954.153531289758,37630.69491180473,39583.98600052164,43084.24622522842,50562.82925284195,53721.43399540901,49750.66723774304,48190.9087284289,51360.92265625091,44904.881276283406,44735.00477412196,45619.782548222815,38869.87077665994,39904.13818089614,40632.20641625962,42904.82258324955,41328.6340793287,37207.17563596214,42065.970755515395,42293.297081202116
5,Angola,631.5149392572605,648.9108964164078,644.659612623357,762.730111017608,827.3784638047542,589.8682198130558,547.9469341556052,578.4439534000797,623.6279389143044,669.0575538810203,858.684777061445,774.4855628441039,747.1582949311335,753.0431952077516,768.0480649384538,915.1828664217819,828.1306967650453,922.0340585798523,961.012831809972,1081.0908696079066,1155.728995434284,1323.8732930613364,1471.337043824237,1032.9555328865272,1029.6161245788026,477.4373432450317,606.6579653421034,687.69351438272,560.8032838200972,518.3868774780342,744.6204957052756,705.2822876472408,872.6576380458995,982.8055896447095,1254.695488434577,1900.722636795008,2597.9635848427147,3121.348735206813,4081.717497195369,3123.698753631167,3586.663901601696,4608.1550955500425,5083.826781015307,5228.511165346129,5371.216648025715,4130.930080226787,3468.5202684104793,4042.6813818502346,3240.862207297038,2569.6297573985735,1639.9510225205042,2026.030951865821,3183.699795576169
6,Anguilla,621.1013161741239,725.213850130406,850.8871226629849,957.8080070473148,1049.8817660367718,1140.5612667825512,1086.4734762212238,1210.2247561259678,1392.9923772280313,1604.1812031946424,1847.9464769647695,2128.818377043913,2451.399758148429,2822.17178093106,3232.101385498486,3927.385314951552,4892.497919993385,5881.492090530552,7092.885894445883,8497.680715516564,9091.120775657811,9019.39082519911,9502.691113528292,10097.695834196218,10984.379839437555,10804.757259081807,11106.28773455601,12107.47192613063,13310.052305569778,13738.207734875332,13599.871827109086,13657.272077260617,13635.74730872741,14535.601504944998,16851.43309808887,18881.46013510212,22969.874539854256,28314.525000887184,27954.380146053358,21967.603320917086,20325.822001777058,21781.727950872693,20818.378050291092,20569.4802108678,22047.422883223167,22756.2807675145,21619.84950656455,18718.318718318715,21240.73220180196,24495.01517121803,16582.659014484485,19106.060926666523,28561.285003234927
7,Antigua and Barbuda,524.9131699097461,635.4283239439889,871.8678297643056,1215.5861353577168,1300.7178713048918,1333.904761229426,1109.5620710184357,1260.5648296892427,1422.4312230587782,1744.0673555971734,2071.994014850431,2337.246877155599,2583.524363842004,2862.968319652823,3242.319073150443,3763.0497421846885,4488.205290220372,5239.446087580595,6230.456019459176,6895.409772711928,7255.406303220855,7569.969000965009,7721.763118536962,8129.144121184708,8788.013323437941,8440.034525592582,9079.481211920536,9556.832802360617,10029.47774981066,10379.160401511765,10443.501925748278,10152.419689912309,10396.134848495753,10758.838249071998,11380.088364165078,12708.077996237356,14203.917744309609,15879.692851259375,16457.104063258943,14530.59868963529,13404.516016103624,13117.14694089678,13686.476585397588,13350.149136672973,14004.811212216295,14861.88270747037,15862.65166274883,16110.312399780018,17514.355863732675,18187.77971171123,15303.278111920086,16740.348196381838,18880.028882908482
8,Argentina,1425.3578944342407,1678.388787347487,1556.526578693246,1724.2053125495022,1907.0944387932982,1996.4937447941172,2080.5257726099994,2304.812606495436,2349.4407259185086,2679.667128978604,2917.5716068002994,2973.2696144255688,3009.445162076198,3205.565682253255,3336.1421198678404,3154.1439359657466,3731.4175336810263,3777.473950273458,4339.181337290466,2581.7653045172447,4693.52696495265,6210.082556445518,7385.823248741457,7540.225856787269,8097.348545954617,8003.792850515918,8336.707754477358,8865.669983162155,8945.805213654749,8387.032494529853,8312.430527259381,7772.969215536627,2918.9259228604565,3669.0406487480386,4291.515836936152,5134.876717786833,5937.434932877958,7266.384194457267,9078.970896664683,8267.539946607452,10376.792178322257,12768.514643081366,13859.31173111875,14469.003850026138,13241.393384738676,14908.621296858575,12767.45535424453,14609.783369600393,11816.649536985458,10006.693110619826,8565.153125826326,10775.999836477615,13867.913268423008
9,Aruba,3343.5515058921696,3539.154720184072,3725.350304626131,3890.231589724962,4052.355157909549,4220.081349026521,4410.324290387397,4624.873191674237,4849.875668507992,5086.334202294714,5335.020756262027,5588.278657940208,5839.36311645384,6095.886644190932,6371.720738989476,6679.742663947913,7027.652951924567,8464.825792806341,10372.963080486457,12043.269062788537,13023.500201658702,14378.751563264552,15277.872679310252,16745.449946110537,18657.27256004409,17961.48857123177,18207.52743298351,19609.82951673637,20688.00647304273,20782.619496716,21026.16709090224,20911.19276709071,21375.269123445967,22050.589873286972,24105.524120771683,24978.215761317235,25832.919721618182,27665.31102421357,29011.61625340539,25740.770230308688,24452.594307044266,26043.167356404814,25611.15935355898,26514.863549875325,26940.258721655435,28419.24310053964,28449.728927173368,29329.09234341909,30918.483584132984,31902.757333471614,24008.127822025748,29127.75938571555,33300.83882068821
10,Australia,3590.037727574976,3884.030700445636,4466.1830338520895,6349.496844276882,7458.406446862741,7857.26045247818,8374.850181206442,8207.700252935592,9468.198924464406,10362.216020379969,11796.300750259981,13535.427694283322,12666.30480840278,12514.227232857595,13264.998647736038,11541.03137230045,11954.294546080177,13977.43954665878,17411.17866928958,19052.62134790854,19017.001336214256,19090.46194706376,18682.18240423661,17996.277924801,20360.364788140007,21780.25455562123,23919.690830405623,23754.311009201443,20999.43020067319,22740.697871700657,21565.36570214372,20326.276704764503,22404.079004323135,28448.155929745597,34157.79194154884,37842.50732745457,40067.55453659332,47385.41132631014,49797.81138994132,46965.19660718949,59099.61139370469,69245.62700435813,70036.82589041715,66820.50891680214,62402.63243789121,52321.0035433425,54054.216565012925,57489.804355909866,58327.72654202311,54407.64462080841,56001.55306410771,67616.30120792447,67866.79248357328
